date,state,party,first_votes,first_share,second_votes,second_share
2025-02-23,Baden-Württemberg,Christlich Demokratische Union Deutschlands,2280707.0,36.0,2006866.0,31.6
2025-02-23,Baden-Württemberg,Alternative für Deutschland,1231221.0,19.4,1256430.0,19.8
2025-02-23,Baden-Württemberg,Sozialdemokratische Partei Deutschlands,1002327.0,15.8,898778.0,14.2
2025-02-23,Baden-Württemberg,BÜNDNIS 90/DIE GRÜNEN,887608.0,14.0,865738.0,13.6
2025-02-23,Baden-Württemberg,Die Linke,360037.0,5.7,429484.0,6.8
2025-02-23,Baden-Württemberg,Christlich-Soziale Union in Bayern e.V.,,,,
2025-02-23,Baden-Württemberg,Ab jetzt... Demokratie durch Volksabstimmung,,,,
2025-02-23,Baden-Württemberg,Allianz Deutscher Demokraten,,,,
2025-02-23,Baden-Württemberg,"Allianz für Menschenrechte, Tier- und Naturschutz",,,,
2025-02-23,Baden-Württemberg,Basisdemokratische Partei Deutschland,17282.0,0.3,21845.0,0.3
2025-02-23,Baden-Württemberg,Bayernpartei,,,,
2025-02-23,Baden-Württemberg,"bergpartei, die überpartei",,,,
2025-02-23,Baden-Württemberg,Brandenb. Verein. Bürgerbewegungen/Freie Wähler,163869.0,2.6,86311.0,1.4
2025-02-23,Baden-Württemberg,Bund für Gesamtdeutschland,,,,
2025-02-23,Baden-Württemberg,Bündnis 21/RRP,,,,
2025-02-23,Baden-Württemberg,Bündnis C - Christen für Deutschland,2021.0,0.0,11768.0,0.2
2025-02-23,Baden-Württemberg,BÜNDNIS DEUTSCHLAND,4821.0,0.1,7411.0,0.1
2025-02-23,Baden-Württemberg,Bündnis für Innovation und Gerechtigkeit,,,,
2025-02-23,Baden-Württemberg,Bündnis Grundeinkommen,,,,
2025-02-23,Baden-Württemberg,Bündnis Sahra Wagenknecht,,,260219.0,4.1
2025-02-23,Baden-Württemberg,Bürgerbewegung für Fortschritt und Wandel,,,,
2025-02-23,Baden-Württemberg,Bürgerbewegung pro Deutschland,,,,
2025-02-23,Baden-Württemberg,Bürgerrechtsbewegung Solidarität,,,,
2025-02-23,Baden-Württemberg,Demokratie in Bewegung,,,,
2025-02-23,Baden-Württemberg,DER DRITTE WEG,,,,
2025-02-23,Baden-Württemberg,Deutsche Kommunistische Partei,,,,
2025-02-23,Baden-Württemberg,DEUTSCHE KONSERVATIVE,,,,
2025-02-23,Baden-Württemberg,Deutsche Mitte,,,,
2025-02-23,Baden-Württemberg,Die Einheit,,,,
2025-02-23,Baden-Württemberg,Die Gerechtigkeitspartei - Team Todenhöfer,,,,
2025-02-23,Baden-Württemberg,Die Grauen - Für alle Generationen,,,,
2025-02-23,Baden-Württemberg,Die Heimat,,,,
2025-02-23,Baden-Württemberg,Die Partei,20293.0,0.3,28041.0,0.4
2025-02-23,Baden-Württemberg,DIE RECHTE,,,,
2025-02-23,Baden-Württemberg,DIE REPUBLIKANER,,,,
2025-02-23,Baden-Württemberg,DIE SONSTIGEN,,,,
2025-02-23,Baden-Württemberg,Die Urbane. Eine HipHop Partei,,,,
2025-02-23,Baden-Württemberg,Die Violetten,,,,
2025-02-23,Baden-Württemberg,diePinken/BÜNDNIS21,,,,
2025-02-23,Baden-Württemberg,Europäische Partei LIEBE,,,,
2025-02-23,Baden-Württemberg,Familien-Partei Deutschlands,,,,
2025-02-23,Baden-Württemberg,Feministische Partei DIE FRAUEN,,,,
2025-02-23,Baden-Württemberg,Freie Demokratische Partei,271794.0,4.3,357539.0,5.6
2025-02-23,Baden-Württemberg,FREIE WÄHLER,,,,
2025-02-23,Baden-Württemberg,Gartenpartei,,,,
2025-02-23,Baden-Württemberg,Graue Panther,,,,
2025-02-23,Baden-Württemberg,Klimaliste Baden-Württemberg,,,,
2025-02-23,Baden-Württemberg,Liberale Demokraten - Die Sozialliberalen,,,,
2025-02-23,Baden-Württemberg,Liberal-Konservative Reformer,,,,
2025-02-23,Baden-Württemberg,Lobbyisten für Kinder,,,,
2025-02-23,Baden-Württemberg,Marxistisch-Leninistische Partei Deutschlands,3574.0,0.1,2379.0,0.0
2025-02-23,Baden-Württemberg,Menschliche Welt,,,,
2025-02-23,Baden-Württemberg,MERA25 - Gemeinsam für Europäische Unabhängigkeit,,,,
2025-02-23,Baden-Württemberg,Mieterpartei,,,,
2025-02-23,Baden-Württemberg,Nein!-Idee,,,,
2025-02-23,Baden-Württemberg,Neue Liberale - Die Sozialliberalen,,,,
2025-02-23,Baden-Württemberg,Ökologisch-Demokratische Partei,1798.0,0.0,12258.0,0.2
2025-02-23,Baden-Württemberg,Partei Bibeltreuer Christen,,,,
2025-02-23,Baden-Württemberg,Partei der Humanisten,,,,
2025-02-23,Baden-Württemberg,Partei der Nichtwähler,,,,
2025-02-23,Baden-Württemberg,Partei der Vernunft,,,,
2025-02-23,Baden-Württemberg,Partei des Fortschritts,,,,
2025-02-23,Baden-Württemberg,Partei für Verjüngungsforschung,,,,
2025-02-23,Baden-Württemberg,PARTEI MENSCH UMWELT TIERSCHUTZ,10548.0,0.2,55906.0,0.9
2025-02-23,Baden-Württemberg,Piratenpartei Deutschland,,,,
2025-02-23,Baden-Württemberg,RENTNER Partei Deutschland,,,,
2025-02-23,Baden-Württemberg,"SGV - Solidarität, Gerechtigkeit, Veränderung",,,,
2025-02-23,Baden-Württemberg,"Sozialist.Gleichheitspartei, Vierte Internationale",,,,
2025-02-23,Baden-Württemberg,Südschleswigscher Wählerverband,,,,
2025-02-23,Baden-Württemberg,Thüringer Heimatpartei,,,,
2025-02-23,Baden-Württemberg,UNABHÄNGIGE für bürgernahe Demokratie,,,,
2025-02-23,Baden-Württemberg,Volt Deutschland,69168.0,1.1,49025.0,0.8
2025-02-23,Baden-Württemberg,"V-Partei3 - Partei f. Veränd., Vegetarier, Veganer",,,,
2025-02-23,Baden-Württemberg,WerteUnion,,,,
2025-02-23,Baden-Württemberg,WiR2020,,,,
2025-02-23,Baden-Württemberg,Sonstige Parteien,5646.0,0.1,,
2025-02-23,Bayern,Christlich Demokratische Union Deutschlands,,,,
2025-02-23,Bayern,Alternative für Deutschland,1384631.0,17.4,1515731.0,19.0
2025-02-23,Bayern,Sozialdemokratische Partei Deutschlands,1016841.0,12.8,920675.0,11.5
2025-02-23,Bayern,BÜNDNIS 90/DIE GRÜNEN,969735.0,12.2,957435.0,12.0
2025-02-23,Bayern,Die Linke,366149.0,4.6,456935.0,5.7
2025-02-23,Bayern,Christlich-Soziale Union in Bayern e.V.,3272064.0,41.2,2964028.0,37.2
2025-02-23,Bayern,Ab jetzt... Demokratie durch Volksabstimmung,,,,
2025-02-23,Bayern,Allianz Deutscher Demokraten,,,,
2025-02-23,Bayern,"Allianz für Menschenrechte, Tier- und Naturschutz",,,,
2025-02-23,Bayern,Basisdemokratische Partei Deutschland,20515.0,0.3,28843.0,0.4
2025-02-23,Bayern,Bayernpartei,5763.0,0.1,12278.0,0.2
2025-02-23,Bayern,"bergpartei, die überpartei",,,,
2025-02-23,Bayern,Brandenb. Verein. Bürgerbewegungen/Freie Wähler,461198.0,5.8,345840.0,4.3
2025-02-23,Bayern,Bund für Gesamtdeutschland,,,,
2025-02-23,Bayern,Bündnis 21/RRP,,,,
2025-02-23,Bayern,Bündnis C - Christen für Deutschland,,,,
